Time_S1_P1,Time_S1_P2,Time_S1_P3,Time_S1_P4,Time_S2_P1,Time_S2_P2,Time_S2_P3,Time_S2_P4
105.49000000001706,46.68999999999928,121.15000000002507,96.1800000000123,5.179999999999934,84.79000000000647,21.63000000000058,124.43000000002675
369.93999999980855,62.47999999999614,366.42999999981174,177.71999999998334,170.48999999998992,25.430000000001176,2.2699999999999956,49.16999999999879
626.2099999995755,136.5400000000208,135.03000000002217,298.66999999987337,165.0099999999949,35.93000000000142,44.999999999999616,11.769999999999794
279.8199999998905,68.43999999999811,43.80999999999985,31.650000000002148,215.93999999994858,57.49999999999713,64.06999999999587,64.52999999999611
133.52000000002354,90.87000000000958,2.679999999999987,467.7599999997196,315.8999999998577,23.010000000000797,30.730000000002004,252.99999999991488
350.24999999982646,128.7300000000279,6.069999999999915,228.2299999999374,620.5999999995806,172.1599999999884,43.33999999999995,433.3499999997509
153.98000000000494,77.71000000000285,10.869999999999813,215.3599999999491,111.17000000001997,260.11999999990843,5.709999999999923,108.95000000001883
98.81000000001364,89.19000000000872,5.889999999999919,66.50999999999712,112.37000000002058,8.989999999999853,31.14000000000207,364.88999999981314
208.36999999995547,171.8299999999887,65.11999999999641,50.64999999999849,8.369999999999866,32.0300000000022,66.6699999999972,29.17000000000176
143.26000000001468,275.1899999998947,9.689999999999838,94.12000000001125,139.77000000001786,37.75000000000106,58.279999999996974,132.17000000002477
23.85000000000093,74.19000000000105,300.7399999998715,180.87999999998047,190.47999999997174,21.30000000000053,35.12000000000158,77.13000000000255
28.71000000000169,161.589999999998,27.480000000001496,197.1099999999657,5.319999999999931,157.63000000000162,18.260000000000055,41.940000000000225
166.5499999999935,161.44999999999814,87.790000000008,355.07999999982206,131.50000000002538,77.90000000000295,28.91000000000172,33.81000000000184
162.77999999999693,10.419999999999822,22.64000000000074,259.33999999990914,175.2399999999856,381.2199999997983,4.389999999999951,19.350000000000225
418.8099999997641,37.770000000001055,9.229999999999848,157.4200000000018,244.26999999992282,34.89000000000163,25.34000000000116,70.03999999999893
123.1700000000261,13.179999999999763,133.99000000002312,285.94999999988494,115.65000000002226,55.23999999999758,294.74999999987693,22.950000000000788
37.520000000001104,101.2500000000149,2.5499999999999896,270.2499999998992,133.00000000002402,133.53000000002353,16.05999999999971,417.4099999997654
107.09000000001788,124.90000000002699,218.71999999994605,9.13999999999985,53.299999999997965,178.9799999999822,3.1599999999999766,218.85999999994593
66.64999999999719,50.089999999998604,5.419999999999929,204.44999999995903,34.750000000001656,14.349999999999739,111.34000000002005,13.899999999999748
85.4200000000068,71.29999999999957,2.2799999999999954,43.949999999999825,164.58999999999529,97.23000000001284,74.96000000000144,96.43000000001243
1062.8299999991784,76.67000000000232,267.189999999902,94.0400000000112,30.700000000002,79.94000000000399,4.489999999999949,44.809999999999654
876.419999999348,56.29999999999737,58.679999999996895,209.94999999995403,88.20000000000822,227.88999999993771,95.7900000000121,53.599999999997905
473.62999999971424,77.88000000000294,10.05999999999983,111.10000000001993,308.90999999986406,21.23000000000052,82.98000000000555,62.039999999996226
935.9399999992938,34.47000000000171,168.90999999999136,39.66000000000068,78.55000000000328,181.1799999999802,2.4599999999999915,26.580000000001355
111.19000000001998,87.03000000000762,62.199999999996194,210.66999999995338,83.74000000000594,82.33000000000521,147.89000000001047,74.94000000000143
82.27000000000518,20.79000000000045,61.72999999999629,70.3799999999991,59.30999999999677,52.649999999998094,9.439999999999843,397.1299999997838
575.2499999996219,27.200000000001452,7.049999999999894,245.87999999992135,67.46999999999761,212.189999999952,81.95000000000502,44.82999999999965
70.09999999999896,99.86000000001418,107.49000000001809,153.33000000000553,415.87999999976677,58.279999999996974,16.679999999999808,14.999999999999725
201.44999999996176,39.99000000000061,4.539999999999948,112.10000000002044,6.709999999999901,24.50000000000103,2.5599999999999894,80.82000000000444
150.4000000000082,75.4600000000017,16.519999999999783,243.21999999992377,49.36999999999875,21.790000000000607,27.88000000000156,9.359999999999845
18.260000000000055,22.51000000000072,39.16000000000078,29.94000000000188,24.720000000001065,40.690000000000474,6.509999999999906,68.0299999999979
274.04999999989576,74.93000000000143,8.369999999999866,412.59999999976975,6.869999999999898,119.86000000002441,26.500000000001343,96.45000000001244
402.02999999977936,79.08000000000355,165.49999999999446,48.30999999999896,15.999999999999703,42.63000000000009,47.92999999999903,165.41999999999453
173.18999999998746,92.0800000000102,9.019999999999852,39.91000000000063,54.91999999999764,28.230000000001613,67.26999999999751,109.92000000001933
31.970000000002198,19.57000000000026,60.179999999996596,375.96999999980306,875.5099999993488,28.180000000001606,8.529999999999863,95.43000000001192
827.9399999993921,33.400000000001924,87.3900000000078,250.1099999999175,125.63000000002737,56.059999999997416,36.94000000000122,516.7599999996751
512.1099999996793,25.52000000000119,127.56000000002835,313.0399999998603,335.32999999984,111.86000000002032,9.219999999999848,159.7299999999997
481.8199999997068,19.090000000000185,85.4200000000068,9.08999999999985,14.169999999999742,56.02999999999742,106.19000000001742,23.22000000000083
57.37999999999715,45.5899999999995,9.829999999999835,339.759999999836,236.1499999999302,39.230000000000764,3.5999999999999672,21.1100000000005
310.6999999998624,80.90000000000448,144.20000000001383,514.699999999677,108.51000000001861,8.849999999999856,38.5600000000009,58.23999999999698
402.59999999977884,250.72999999991694,4.729999999999944,115.26000000002206,115.44000000002215,64.81999999999626,6.459999999999907,41.38000000000034
424.5099999997589,51.07999999999841,16.6399999999998,239.62999999992704,5.319999999999931,290.5199999998808,2.619999999999988,20.65000000000043
